circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:0.0 counts: {'0000': 325, '0001': 54, '0010': 1660, '0011': 151, '0100': 1115, '0101': 53, '0110': 752, '0111': 67, '1000': 324, '1001': 47, '1010': 1430, '1011': 172, '1100': 888, '1101': 57, '1110': 834, '1111': 71}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:0.2617993877991494 counts: {'0000': 351, '0001': 18, '0010': 1126, '0011': 99, '0100': 226, '0101': 13, '0110': 257, '0111': 49, '1000': 301, '1001': 19, '1010': 2291, '1011': 199, '1100': 1694, '1101': 62, '1110': 1208, '1111': 87}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:0.5235987755982988 counts: {'0000': 291, '0001': 54, '0010': 1261, '0011': 136, '0100': 120, '0101': 23, '0110': 441, '0111': 76, '1000': 206, '1001': 47, '1010': 2132, '1011': 129, '1100': 735, '1101': 100, '1110': 2126, '1111': 123}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:0.7853981633974483 counts: {'0000': 738, '0001': 54, '0010': 1708, '0011': 168, '0100': 1193, '0101': 51, '0110': 189, '0111': 57, '1000': 467, '1001': 34, '1010': 1354, '1011': 168, '1100': 1373, '1101': 57, '1110': 298, '1111': 91}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:1.0471975511965976 counts: {'0000': 306, '0001': 66, '0010': 1675, '0011': 124, '0100': 215, '0101': 36, '0110': 161, '0111': 54, '1000': 180, '1001': 40, '1010': 2269, '1011': 256, '1100': 1115, '1101': 101, '1110': 1306, '1111': 96}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:1.308996938995747 counts: {'0000': 309, '0001': 64, '0010': 2233, '0011': 222, '0100': 149, '0101': 14, '0110': 131, '0111': 16, '1000': 149, '1001': 57, '1010': 2079, '1011': 314, '1100': 1007, '1101': 73, '1110': 1095, '1111': 88}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:1.5707963267948966 counts: {'0000': 874, '0001': 51, '0010': 933, '0011': 110, '0100': 262, '0101': 20, '0110': 108, '0111': 38, '1000': 474, '1001': 43, '1010': 1894, '1011': 240, '1100': 2257, '1101': 107, '1110': 483, '1111': 106}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:1.832595714594046 counts: {'0000': 815, '0001': 52, '0010': 1132, '0011': 121, '0100': 281, '0101': 23, '0110': 115, '0111': 19, '1000': 434, '1001': 26, '1010': 1870, '1011': 210, '1100': 2093, '1101': 96, '1110': 595, '1111': 118}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:2.0943951023931953 counts: {'0000': 312, '0001': 45, '0010': 2152, '0011': 189, '0100': 127, '0101': 11, '0110': 142, '0111': 16, '1000': 146, '1001': 41, '1010': 2130, '1011': 268, '1100': 1111, '1101': 67, '1110': 1162, '1111': 81}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:2.356194490192345 counts: {'0000': 343, '0001': 38, '0010': 1959, '0011': 179, '0100': 161, '0101': 24, '0110': 153, '0111': 18, '1000': 182, '1001': 54, '1010': 2144, '1011': 276, '1100': 1070, '1101': 74, '1110': 1248, '1111': 77}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:2.617993877991494 counts: {'0000': 819, '0001': 41, '0010': 962, '0011': 123, '0100': 268, '0101': 18, '0110': 134, '0111': 31, '1000': 498, '1001': 36, '1010': 1868, '1011': 274, '1100': 2190, '1101': 94, '1110': 550, '1111': 94}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:2.8797932657906435 counts: {'0000': 473, '0001': 125, '0010': 2322, '0011': 335, '0100': 1050, '0101': 69, '0110': 598, '0111': 63, '1000': 103, '1001': 43, '1010': 486, '1011': 157, '1100': 843, '1101': 91, '1110': 1099, '1111': 143}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:3.141592653589793 counts: {'0000': 346, '0001': 25, '0010': 1258, '0011': 110, '0100': 232, '0101': 13, '0110': 218, '0111': 32, '1000': 317, '1001': 42, '1010': 2355, '1011': 214, '1100': 1643, '1101': 78, '1110': 1044, '1111': 73}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:3.4033920413889422 counts: {'0000': 357, '0001': 72, '0010': 2019, '0011': 201, '0100': 178, '0101': 29, '0110': 188, '0111': 24, '1000': 196, '1001': 40, '1010': 2012, '1011': 272, '1100': 1092, '1101': 82, '1110': 1164, '1111': 74}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:3.665191429188092 counts: {'0000': 304, '0001': 102, '0010': 3422, '0011': 190, '0100': 527, '0101': 30, '0110': 208, '0111': 11, '1000': 92, '1001': 31, '1010': 825, '1011': 116, '1100': 843, '1101': 48, '1110': 1160, '1111': 91}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:3.926990816987241 counts: {'0000': 395, '0001': 52, '0010': 1340, '0011': 157, '0100': 386, '0101': 34, '0110': 308, '0111': 39, '1000': 516, '1001': 36, '1010': 2109, '1011': 190, '1100': 1380, '1101': 87, '1110': 866, '1111': 105}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:4.1887902047863905 counts: {'0000': 794, '0001': 75, '0010': 1045, '0011': 121, '0100': 266, '0101': 18, '0110': 101, '0111': 38, '1000': 460, '1001': 41, '1010': 1901, '1011': 226, '1100': 2151, '1101': 119, '1110': 545, '1111': 99}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:4.45058959258554 counts: {'0000': 542, '0001': 56, '0010': 1616, '0011': 151, '0100': 343, '0101': 30, '0110': 233, '0111': 38, '1000': 227, '1001': 39, '1010': 1363, '1011': 227, '1100': 1553, '1101': 102, '1110': 1373, '1111': 107}
