circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:0.0 counts: {'0000': 568, '0001': 146, '0010': 1371, '0011': 131, '0100': 187, '0101': 48, '0110': 225, '0111': 86, '1000': 885, '1001': 189, '1010': 3099, '1011': 238, '1100': 231, '1101': 91, '1110': 390, '1111': 115}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:0.2617993877991494 counts: {'0000': 421, '0001': 78, '0010': 1634, '0011': 132, '0100': 197, '0101': 36, '0110': 384, '0111': 52, '1000': 444, '1001': 97, '1010': 3527, '1011': 238, '1100': 201, '1101': 81, '1110': 419, '1111': 59}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:0.5235987755982988 counts: {'0000': 609, '0001': 158, '0010': 1677, '0011': 198, '0100': 150, '0101': 60, '0110': 277, '0111': 87, '1000': 427, '1001': 147, '1010': 3009, '1011': 318, '1100': 178, '1101': 91, '1110': 489, '1111': 125}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:0.7853981633974483 counts: {'0000': 432, '0001': 87, '0010': 1893, '0011': 113, '0100': 183, '0101': 35, '0110': 336, '0111': 60, '1000': 432, '1001': 88, '1010': 3268, '1011': 187, '1100': 231, '1101': 61, '1110': 525, '1111': 69}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:1.0471975511965976 counts: {'0000': 404, '0001': 56, '0010': 2131, '0011': 103, '0100': 181, '0101': 46, '0110': 350, '0111': 64, '1000': 441, '1001': 68, '1010': 3016, '1011': 131, '1100': 211, '1101': 79, '1110': 622, '1111': 97}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:1.308996938995747 counts: {'0000': 538, '0001': 183, '0010': 1767, '0011': 197, '0100': 190, '0101': 69, '0110': 331, '0111': 49, '1000': 759, '1001': 227, '1010': 2680, '1011': 179, '1100': 251, '1101': 91, '1110': 437, '1111': 52}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:1.5707963267948966 counts: {'0000': 226, '0001': 70, '0010': 767, '0011': 126, '0100': 142, '0101': 18, '0110': 247, '0111': 34, '1000': 459, '1001': 101, '1010': 4471, '1011': 287, '1100': 222, '1101': 35, '1110': 757, '1111': 38}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:1.832595714594046 counts: {'0000': 502, '0001': 76, '0010': 2177, '0011': 76, '0100': 172, '0101': 35, '0110': 317, '0111': 64, '1000': 375, '1001': 69, '1010': 2796, '1011': 126, '1100': 257, '1101': 86, '1110': 768, '1111': 104}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:2.0943951023931953 counts: {'0000': 469, '0001': 107, '0010': 1137, '0011': 130, '0100': 161, '0101': 42, '0110': 404, '0111': 78, '1000': 422, '1001': 156, '1010': 3470, '1011': 285, '1100': 212, '1101': 119, '1110': 745, '1111': 63}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:2.356194490192345 counts: {'0000': 879, '0001': 64, '0010': 2406, '0011': 83, '0100': 288, '0101': 59, '0110': 442, '0111': 37, '1000': 435, '1001': 69, '1010': 2275, '1011': 73, '1100': 233, '1101': 56, '1110': 535, '1111': 66}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:2.617993877991494 counts: {'0000': 448, '0001': 65, '0010': 2182, '0011': 94, '0100': 191, '0101': 46, '0110': 363, '0111': 58, '1000': 383, '1001': 57, '1010': 2869, '1011': 126, '1100': 217, '1101': 76, '1110': 730, '1111': 95}
