circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:0.0 counts: {'0000': 580, '0001': 449, '0010': 1871, '0011': 286, '0100': 329, '0101': 158, '0110': 529, '0111': 259, '1000': 385, '1001': 299, '1010': 1622, '1011': 344, '1100': 228, '1101': 97, '1110': 369, '1111': 195}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:0.2617993877991494 counts: {'0000': 778, '0001': 212, '0010': 2281, '0011': 186, '0100': 277, '0101': 86, '0110': 668, '0111': 96, '1000': 412, '1001': 152, '1010': 1731, '1011': 222, '1100': 199, '1101': 87, '1110': 484, '1111': 129}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:0.5235987755982988 counts: {'0000': 432, '0001': 543, '0010': 1709, '0011': 344, '0100': 217, '0101': 189, '0110': 685, '0111': 226, '1000': 356, '1001': 335, '1010': 1303, '1011': 255, '1100': 225, '1101': 202, '1110': 822, '1111': 157}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:0.7853981633974483 counts: {'0000': 548, '0001': 345, '0010': 1591, '0011': 248, '0100': 257, '0101': 163, '0110': 832, '0111': 169, '1000': 355, '1001': 277, '1010': 1666, '1011': 307, '1100': 227, '1101': 116, '1110': 733, '1111': 166}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:1.0471975511965976 counts: {'0000': 628, '0001': 140, '0010': 2214, '0011': 108, '0100': 317, '0101': 81, '0110': 1131, '0111': 121, '1000': 237, '1001': 103, '1010': 1801, '1011': 241, '1100': 206, '1101': 80, '1110': 485, '1111': 107}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:1.308996938995747 counts: {'0000': 425, '0001': 136, '0010': 1914, '0011': 387, '0100': 325, '0101': 87, '0110': 1381, '0111': 177, '1000': 267, '1001': 99, '1010': 1720, '1011': 241, '1100': 185, '1101': 99, '1110': 421, '1111': 136}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:1.5707963267948966 counts: {'0000': 476, '0001': 108, '0010': 3180, '0011': 215, '0100': 420, '0101': 61, '0110': 631, '0111': 137, '1000': 291, '1001': 124, '1010': 1248, '1011': 292, '1100': 224, '1101': 71, '1110': 418, '1111': 104}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:1.832595714594046 counts: {'0000': 553, '0001': 475, '0010': 1684, '0011': 294, '0100': 279, '0101': 144, '0110': 650, '0111': 190, '1000': 459, '1001': 253, '1010': 1589, '1011': 235, '1100': 260, '1101': 107, '1110': 691, '1111': 137}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:2.0943951023931953 counts: {'0000': 351, '0001': 157, '0010': 1961, '0011': 237, '0100': 234, '0101': 59, '0110': 513, '0111': 208, '1000': 360, '1001': 176, '1010': 2406, '1011': 360, '1100': 248, '1101': 89, '1110': 450, '1111': 191}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:2.356194490192345 counts: {'0000': 463, '0001': 139, '0010': 2023, '0011': 263, '0100': 236, '0101': 73, '0110': 1315, '0111': 107, '1000': 314, '1001': 100, '1010': 1970, '1011': 222, '1100': 151, '1101': 94, '1110': 405, '1111': 125}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:2.617993877991494 counts: {'0000': 585, '0001': 329, '0010': 2084, '0011': 404, '0100': 292, '0101': 105, '0110': 675, '0111': 180, '1000': 352, '1001': 222, '1010': 1560, '1011': 236, '1100': 234, '1101': 86, '1110': 525, '1111': 131}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:2.8797932657906435 counts: {'0000': 826, '0001': 235, '0010': 2284, '0011': 463, '0100': 211, '0101': 106, '0110': 614, '0111': 175, '1000': 268, '1001': 143, '1010': 1684, '1011': 172, '1100': 162, '1101': 120, '1110': 439, '1111': 98}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:3.141592653589793 counts: {'0000': 433, '0001': 185, '0010': 2335, '0011': 233, '0100': 271, '0101': 80, '0110': 476, '0111': 225, '1000': 315, '1001': 158, '1010': 2162, '1011': 284, '1100': 206, '1101': 66, '1110': 410, '1111': 161}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:3.4033920413889422 counts: {'0000': 873, '0001': 129, '0010': 2433, '0011': 284, '0100': 250, '0101': 83, '0110': 761, '0111': 145, '1000': 265, '1001': 92, '1010': 1677, '1011': 191, '1100': 175, '1101': 79, '1110': 429, '1111': 134}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:3.665191429188092 counts: {'0000': 450, '0001': 570, '0010': 1593, '0011': 398, '0100': 263, '0101': 187, '0110': 665, '0111': 221, '1000': 373, '1001': 365, '1010': 1368, '1011': 259, '1100': 227, '1101': 215, '1110': 683, '1111': 163}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:3.926990816987241 counts: {'0000': 431, '0001': 375, '0010': 1191, '0011': 260, '0100': 347, '0101': 144, '0110': 575, '0111': 279, '1000': 612, '1001': 315, '1010': 1826, '1011': 243, '1100': 347, '1101': 205, '1110': 613, '1111': 237}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:4.1887902047863905 counts: {'0000': 885, '0001': 90, '0010': 2872, '0011': 165, '0100': 408, '0101': 73, '0110': 1288, '0111': 103, '1000': 173, '1001': 167, '1010': 515, '1011': 196, '1100': 151, '1101': 75, '1110': 755, '1111': 84}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:4.45058959258554 counts: {'0000': 576, '0001': 139, '0010': 2865, '0011': 267, '0100': 444, '0101': 114, '0110': 1297, '0111': 183, '1000': 319, '1001': 129, '1010': 653, '1011': 147, '1100': 139, '1101': 112, '1110': 507, '1111': 109}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:4.71238898038469 counts: {'0000': 485, '0001': 159, '0010': 2144, '0011': 339, '0100': 346, '0101': 116, '0110': 455, '0111': 264, '1000': 490, '1001': 155, '1010': 1802, '1011': 237, '1100': 323, '1101': 127, '1110': 380, '1111': 178}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:4.974188368183839 counts: {'0000': 385, '0001': 133, '0010': 1954, '0011': 231, '0100': 266, '0101': 96, '0110': 1142, '0111': 293, '1000': 237, '1001': 130, '1010': 1853, '1011': 238, '1100': 192, '1101': 95, '1110': 545, '1111': 210}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:5.235987755982988 counts: {'0000': 532, '0001': 139, '0010': 2582, '0011': 222, '0100': 554, '0101': 66, '0110': 499, '0111': 139, '1000': 396, '1001': 151, '1010': 1392, '1011': 345, '1100': 406, '1101': 73, '1110': 357, '1111': 147}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:5.497787143782138 counts: {'0000': 539, '0001': 150, '0010': 2773, '0011': 238, '0100': 258, '0101': 61, '0110': 550, '0111': 133, '1000': 371, '1001': 162, '1010': 1594, '1011': 332, '1100': 215, '1101': 76, '1110': 407, '1111': 141}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:5.759586531581287 counts: {'0000': 951, '0001': 90, '0010': 2739, '0011': 147, '0100': 325, '0101': 56, '0110': 1004, '0111': 65, '1000': 361, '1001': 135, '1010': 1158, '1011': 168, '1100': 164, '1101': 43, '1110': 518, '1111': 76}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:6.021385919380436 counts: {'0000': 502, '0001': 149, '0010': 2386, '0011': 235, '0100': 187, '0101': 56, '0110': 735, '0111': 105, '1000': 365, '1001': 118, '1010': 2352, '1011': 192, '1100': 148, '1101': 45, '1110': 309, '1111': 116}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:0.0 counts: {'0000': 808, '0001': 145, '0010': 2956, '0011': 183, '0100': 375, '0101': 77, '0110': 671, '0111': 129, '1000': 363, '1001': 136, '1010': 1058, '1011': 129, '1100': 203, '1101': 82, '1110': 592, '1111': 93}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:0.2617993877991494 counts: {'0000': 469, '0001': 405, '0010': 1518, '0011': 314, '0100': 223, '0101': 144, '0110': 642, '0111': 198, '1000': 471, '1001': 332, '1010': 1784, '1011': 258, '1100': 228, '1101': 130, '1110': 723, '1111': 161}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:0.5235987755982988 counts: {'0000': 511, '0001': 160, '0010': 2022, '0011': 293, '0100': 207, '0101': 59, '0110': 772, '0111': 146, '1000': 380, '1001': 121, '1010': 2421, '1011': 267, '1100': 136, '1101': 57, '1110': 352, '1111': 96}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:0.7853981633974483 counts: {'0000': 692, '0001': 156, '0010': 2979, '0011': 243, '0100': 397, '0101': 74, '0110': 835, '0111': 78, '1000': 384, '1001': 148, '1010': 969, '1011': 149, '1100': 226, '1101': 88, '1110': 493, '1111': 89}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:1.0471975511965976 counts: {'0000': 586, '0001': 278, '0010': 2291, '0011': 221, '0100': 160, '0101': 65, '0110': 644, '0111': 196, '1000': 428, '1001': 189, '1010': 1946, '1011': 176, '1100': 140, '1101': 57, '1110': 502, '1111': 121}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:1.308996938995747 counts: {'0000': 430, '0001': 122, '0010': 2706, '0011': 251, '0100': 383, '0101': 75, '0110': 504, '0111': 126, '1000': 314, '1001': 122, '1010': 1633, '1011': 298, '1100': 335, '1101': 95, '1110': 450, '1111': 156}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:1.5707963267948966 counts: {'0000': 677, '0001': 164, '0010': 2363, '0011': 239, '0100': 274, '0101': 88, '0110': 750, '0111': 115, '1000': 274, '1001': 120, '1010': 1763, '1011': 275, '1100': 194, '1101': 80, '1110': 513, '1111': 111}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:1.832595714594046 counts: {'0000': 412, '0001': 189, '0010': 2257, '0011': 278, '0100': 268, '0101': 66, '0110': 1097, '0111': 131, '1000': 280, '1001': 158, '1010': 1806, '1011': 192, '1100': 201, '1101': 80, '1110': 468, '1111': 117}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:2.0943951023931953 counts: {'0000': 466, '0001': 167, '0010': 2076, '0011': 254, '0100': 255, '0101': 63, '0110': 1144, '0111': 175, '1000': 273, '1001': 121, '1010': 1943, '1011': 223, '1100': 171, '1101': 69, '1110': 485, '1111': 115}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:2.356194490192345 counts: {'0000': 555, '0001': 237, '0010': 2202, '0011': 414, '0100': 229, '0101': 118, '0110': 453, '0111': 284, '1000': 457, '1001': 184, '1010': 1606, '1011': 308, '1100': 243, '1101': 88, '1110': 403, '1111': 219}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:2.617993877991494 counts: {'0000': 620, '0001': 206, '0010': 1963, '0011': 288, '0100': 332, '0101': 100, '0110': 691, '0111': 158, '1000': 489, '1001': 155, '1010': 1651, '1011': 286, '1100': 234, '1101': 95, '1110': 585, '1111': 147}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:2.8797932657906435 counts: {'0000': 406, '0001': 150, '0010': 1878, '0011': 354, '0100': 273, '0101': 90, '0110': 1166, '0111': 261, '1000': 273, '1001': 101, '1010': 1865, '1011': 244, '1100': 181, '1101': 87, '1110': 520, '1111': 151}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:3.141592653589793 counts: {'0000': 778, '0001': 149, '0010': 2209, '0011': 247, '0100': 342, '0101': 77, '0110': 756, '0111': 145, '1000': 304, '1001': 105, '1010': 1680, '1011': 234, '1100': 214, '1101': 75, '1110': 595, '1111': 90}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:3.4033920413889422 counts: {'0000': 446, '0001': 419, '0010': 1523, '0011': 349, '0100': 295, '0101': 226, '0110': 599, '0111': 194, '1000': 416, '1001': 348, '1010': 1553, '1011': 251, '1100': 360, '1101': 147, '1110': 703, '1111': 171}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:3.665191429188092 counts: {'0000': 474, '0001': 188, '0010': 1891, '0011': 288, '0100': 245, '0101': 68, '0110': 1016, '0111': 139, '1000': 300, '1001': 132, '1010': 2163, '1011': 263, '1100': 140, '1101': 78, '1110': 475, '1111': 140}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:3.926990816987241 counts: {'0000': 664, '0001': 90, '0010': 2396, '0011': 175, '0100': 453, '0101': 75, '0110': 1258, '0111': 158, '1000': 243, '1001': 139, '1010': 907, '1011': 180, '1100': 252, '1101': 54, '1110': 839, '1111': 117}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:4.1887902047863905 counts: {'0000': 463, '0001': 202, '0010': 1647, '0011': 342, '0100': 342, '0101': 146, '0110': 1173, '0111': 345, '1000': 271, '1001': 91, '1010': 1614, '1011': 250, '1100': 171, '1101': 89, '1110': 678, '1111': 176}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:4.45058959258554 counts: {'0000': 481, '0001': 163, '0010': 2203, '0011': 283, '0100': 259, '0101': 63, '0110': 970, '0111': 121, '1000': 285, '1001': 139, '1010': 2017, '1011': 249, '1100': 171, '1101': 71, '1110': 424, '1111': 101}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:4.71238898038469 counts: {'0000': 357, '0001': 566, '0010': 1213, '0011': 345, '0100': 228, '0101': 248, '0110': 623, '0111': 260, '1000': 414, '1001': 479, '1010': 1706, '1011': 358, '1100': 211, '1101': 192, '1110': 638, '1111': 162}
